1,26
0,39
3,27
2,40
5,28
4,41
7,29
6,42
9,30
8,43
11,31
10,44
13,32
12,45
15,33
14,46
17,34
16,47
19,35
18,48
21,36
20,49
23,37
22,50
25,38
24,51
54,52
52,53
50,54
48,55
46,56
44,57
42,58
40,59
38,60
36,61
34,62
32,63
30,64
28,65
26,66
55,67
53,68
51,69
49,70
47,71
45,72
43,73
41,74
39,75
37,76
35,77
33,78
31,79
29,80
27,81
57,82
56,95
59,83
58,96
61,84
60,97
63,85
62,98
65,86
64,99
67,87
66,100
69,88
68,101
71,89
70,102
73,90
72,103
75,91
74,104
77,92
76,105
79,93
78,106
81,94
80,107
110,108
108,109
106,110
104,111
102,112
100,113
98,114
96,115
94,116
92,117
90,118
88,119
86,120
84,121
82,122
111,123
109,124
107,125
105,126
103,127
101,128
99,129
97,130
95,131
93,132
91,133
89,134
87,135
85,136
83,137
113,138
112,151
115,139
114,152
117,140
116,153
119,141
118,154
121,142
120,155
123,143
122,156
125,144
124,157
127,145
126,158
129,146
128,159
131,147
130,160
133,148
132,161
135,149
134,162
137,150
136,163
166,164
164,165
162,166
160,167
158,168
156,169
154,170
152,171
150,172
148,173
146,174
144,175
142,176
140,177
138,178
167,179
165,180
163,181
161,182
159,183
157,184
155,185
153,186
151,187
149,188
147,189
145,190
143,191
141,192
139,193
169,194
168,207
171,195
170,208
173,196
172,209
175,197
174,210
177,198
176,211
179,199
178,212
181,200
180,213
183,201
182,214
185,202
184,215
187,203
186,216
189,204
188,217
191,205
190,218
193,206
192,219
222,220
220,221
218,222
216,223
214,224
212,225
210,226
208,227
206,228
204,229
202,230
200,231
198,232
196,233
194,234
223,235
221,236
219,237
217,238
215,239
213,240
211,241
209,242
207,243
205,244
203,245
201,246
199,247
197,248
195,249
225,250
224,263
227,251
226,264
229,252
228,265
231,253
230,266
233,254
232,267
235,255
234,268
237,256
236,269
239,257
238,270
241,258
240,271
243,259
242,272
245,260
244,273
247,261
246,274
249,262
248,275
278,276
276,277
274,278
272,279
270,280
268,281
266,282
264,283
262,284
260,285
258,286
256,287
254,288
252,289
250,290
279,291
277,292
275,293
273,294
271,295
269,296
267,297
265,298
263,299
261,300
259,301
257,302
255,303
253,304
251,305
281,306
280,319
283,307
282,320
285,308
284,321
287,309
286,322
289,310
288,323
291,311
290,324
293,312
292,325
295,313
294,326
297,314
296,327
299,315
298,328
301,316
300,329
303,317
302,330
305,318
304,331
